Country Name,Country Code,Series Name,Series Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.75,1.100000024,2.900000095,4.599999905,7.699999809,13.85517556,15.36692386,15.62440014,15.88619995,15.98460007,16.06959915,16.6981031,17.9836998,20.33749962,21.94129944
Ethiopia,ETH,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,7.570258995,15.16550032,21.42395945,26.05362699,30.15360339,40.73630124,47.99932742,36.10948363,..,36.21993077,37.42084723,52.80886332,56.96429888,59.87487444,65.08250919
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,597.9121132,641.6515233,696.3484291,739.7020223,793.4732472,829.7909825,893.0098354,982.1031615,1055.810916,1133.882797
Ethiopia,ETH,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.004536191,0.006820185,0.0089093,0.241842768,0.466085306,0.460203316,0.523809621,0.057401313,..,0.137379986,0.178274598,0.39938238,0.45157652,0.53482318,0.59391745
Sub-Saharan Africa,SSF,Individuals using the Internet (% of population),IT.NET.USER.ZS,6,7.5,9.2,11.2,13.4,16.2,18.3,20,22,24.4,26.7,29,31.1,32.3,33.6
Sub-Saharan Africa,SSF,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,44.09398402,52.16341512,58.58250966,64.71106467,69.37848669,73.3,71.5,70.8,74.4,77.4,80.8,83,87.6,90,89.2
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1642.641342,1795.438149,1817.301258,1879.558731,1906.79597,1646.449411,1455.035253,1546.917742,1620.541408,1795.561279,1627.345696,1785.466649,1865.116353,1680.779667,1532.927636
Sub-Saharan Africa,SSF,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.161017934,0.262648444,0.24611533,0.315008159,0.379554951,0.4,0.4,0.4,0.4,0.5,0.45,0.51,0.56,0.66,0.84
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,
